titleType,originalTitle,genres,runtimeMinutes,startYear,isAdult,averageRating,region,actor,actress,director,producer
movie,The Powerpuff Girls Movie,"Action,Adventure,Animation",73.0,2002.0,0,6.5,CA,Roger Jackson,"Cathy Cavadini, Tara Strong, Elizabeth Daily",Craig McCracken,
movie,Aks,"Action,Crime,Horror",184.0,2001.0,0,5.9,IN,"Amitabh Bachchan, Manoj Bajpayee","Nandita Das, Raveena Tandon",Rakeysh Omprakash Mehra,Jhamu Sughand
movie,Analyze That,"Comedy,Crime",96.0,2002.0,0,5.9,JP,"Robert De Niro, Billy Crystal, Joe Viterelli",Lisa Kudrow,Harold Ramis,"Jane Rosenthal, Paula Weinstein"
movie,Gülen Gözler,"Comedy,Drama,Family",97.0,1977.0,0,8.5,XWW,"Halit Akçatepe, Münir Özkul","Müjde Ar, Adile Nasit",Ertem Egilmez,Nahit Ataman
movie,Hababam Sinifi Dokuz Doguruyor,"Comedy,Drama,Romance",88.0,1978.0,0,7.4,XWW,"Sevket Altug, Münir Özkul, Ilyas Salman, Sener Sen","Perran Kutman, Adile Nasit",Kartal Tibet,Ertem Egilmez
movie,Meet the Fockers,"Comedy,Romance",115.0,2004.0,0,6.3,CA,"Robert De Niro, Ben Stiller","Blythe Danner, Teri Polo",Jay Roach,
movie,Nichts bereuen,"Comedy,Drama,Romance",104.0,2001.0,0,7.0,XWW,"Daniel Brühl, Denis Moschitto","Jessica Schwarz, Marie-Lou Sellem",Benjamin Quabeck,"Michael Schaefer, Stephanie Wagner"
movie,Tum Bin...: Love Will Find a Way,"Drama,Romance",158.0,2001.0,0,7.5,IN,"Himanshu Malik, Raqesh Bapat, Priyanshu Chatterjee",Sandali Sinha,Anubhav Sinha,"Krishan Kumar, Bhushan Kumar"
movie,Bijitâ Q,"Comedy,Drama,Horror",84.0,2001.0,0,6.7,XWW,"Ken'ichi Endô, Kazushi Watanabe, Jun Mutô",Shungiku Uchida,Takashi Miike,"Reiko Arakawa, Susumu Nakajima, Seiichiro Kobayashi"
movie,Waqt Hamara Hai,"Action,Comedy,Crime",148.0,1993.0,0,5.9,IN,"Akshay Kumar, Sunil Shetty","Ayesha Jhulka, Mamta Kulkarni",Bharat Rangachary,Sajid Nadiadwala
movie,X2,"Action,Sci-Fi,Thriller",134.0,2003.0,0,7.4,XWW,"Patrick Stewart, Ian McKellen, Hugh Jackman",Halle Berry,Bryan Singer,Lauren Shuler Donner
movie,Hundstage,Drama,121.0,2001.0,0,7.1,XWW,"Georg Friedrich, Viktor Hennemann","Maria Hofstätter, Christine Jirku",Ulrich Seidl,"Philippe Bober, Helmut Grasser"
movie,Irréversible,"Crime,Drama,Mystery",97.0,2002.0,0,7.4,JP,"Vincent Cassel, Albert Dupontel, Jo Prestia",Monica Bellucci,Gaspar Noé,Christophe Rossignon
movie,Raakh,"Action,Crime,Drama",153.0,1989.0,0,7.6,IN,"Jagdeep, Pankaj Kapur, Aamir Khan",Supriya Pathak,Aditya Bhattacharya,Asif Noor
movie,Raye makhfi,"Comedy,Drama",100.0,2001.0,0,6.6,XWW,"Cyrus Abidi, Youssef Habashi, Farrokh Shoja",Nassim Abdi,Babak Payami,Marco Mueller
movie,Sainik,"Action,Drama,Romance",145.0,1993.0,0,6.2,IN,"Akshay Kumar, Alok Nath","Ashwini Bhave, Farheen",Sikander Bharti,Jimmy Nirula
movie,Embrassez qui vous voudrez,"Comedy,Drama,Romance",103.0,2002.0,0,6.6,XWW,"Michel Blanc, Jacques Dutronc","Carole Bouquet, Charlotte Rampling",,Yves Marmion
movie,Yoddha,"Action,Comedy",149.0,1992.0,0,8.4,IN,"Jagathi Sreekumar, Mohanlal, Siddharth Lama",Madhoo,Sangeeth Sivan,
movie,Abril Despedaçado,Drama,105.0,2001.0,0,7.6,XWW,"José Dumont, Rodrigo Santoro, Luiz Carlos Vasconcelos",Rita Assemany,Walter Salles,
movie,Xiao cai feng,"Biography,Drama,Romance",110.0,2002.0,0,7.2,CA,"Ye Liu, Shuangbao Wang, Kun Chen",Xun Zhou,Sijie Dai,Lise Fayolle
